irrallinen,"loose, random"
natsat,"ranks, slang for e.g. user permissions"
läjä,"pile, more disorganised than kasa"
kattava,comprehensive
kattava listaus,comprehensive list
maltillinen,moderate
pilkkoa,"to chop into pieces, to split"
pitää jotain nykyisellään,to keep something as it is
lohtoketju,blockchain
panos-tuotos,"input-output, in and out"
ahertaa,työskennellä ahkerasti jonkin parissa
kohdistus,adjustment
takautuvasti,retrospectively
kohdistaa,to adjust
äärettömyys,infinity
suppea lista,"short, compact list"
pähkinänkuoressa,in a nutshell
edistää pitkän aikavälin arvoa,to drive the long-term value
pulma,a challenging problem
laputtaa Miro/Kanban boardiin,to make tickets (out of some task) into the Miro or Kanban board
yhdellä rysäyksellä,"in one fell swoop, all in one go (in contrast to yksi kerrallaan)"
tekninen pullonkaula,technical bottleneck
SQL-murre,SQL dialect
steering group,"ohry, ohjausryhmä"
hampurilais-valikko,"""hamburger"" menu icon (three lines)"
olla juntturassa,to be really stuck
päteä,"to be valid, to hold, to assert oneself"
käppyrä,"chart, picture, data assembled together"
vinossa,"kallistuneena, ei-suorassa, huonosti, vialla"
olla kröhässä,to have cough
aikasarja,timeseries
huikata,"sanoa lyhyesti, pikaisesti tai huomauttaen"
katkonainen päivä,"a scattered, hectic day when you didn't get to work consistently"
viitekehys,"framework (non technical term), frame of reference"
ote asiaan,take on the issue/matter
viime hetkellä,"at the last moment, in the nick of time, just in time"
rivivaihto,linebreak
näppärä,"nifty, handy, clever"
kiertoilmaus,euphemism
leuhkia jollakin,to boast about something
ko.,kyseessä oleva (lyhenne)
hox!,"check this out! (slang, lyhynne)"
hoksata,"oivaltaa, ymmärtää syvällisesti - to understand deeply"
herjata jostakin (e.g. github herjaa erroreista),"to complain, slander about something"
nivoutua,to integrate oneself
platta,platform (slang)
tuurata jotakuta,"to stand in for someone, to take someone's work or shift when they are abscent"
sopeuttaa,"to adapt, to integrate"
pääotsikko,title
otsikko,heading
väliotsikko,subheading
leipäteksti,body text
tasavälinen,monospaced
luettelomerkitty luettelo,• bulletpoint list
viivoitettu luettelo,- dashed list
numeroitu luettelo,1. numbered list
lohkolainaus,block quote
hikat,hiccups (=issues)
käsi on pystyssä,the hand is raised
HTP,"henkilötyöpäivä, lyhenne"
"funtsia, fundeerata","to ponder, to consider"
kehua,"to praise, to flatter"
amatööri moka,rookie mistake
vaje,deficit
entiteetti,entity
vaade,"claim, demand"
työläs,something labour-demanding
tarkalleen ottaen,"specifically, precisely, exactly speaking"
palvelin,server
kokoonpano,"composition, configuration"
steering group,"ohry, ohjausryhmä"
Kuin ihmeen kaupalla,By some miracle
"Idea on ihan hyvä, mutta vähän viilausta","The idea is pretty good, but needs a bit of polishing"
"Pisti silmään, että...","It caught my eye, that..."
Mennä puurot ja vellit sekaisin,"To confuse unrelated issues, i.e. ""apples and oranges"""
"Asiasta tietämättä kuulostaa siltä, että...","Without knowing the thing, it sounds like..."
Päivittäisten ajojen ketjutus,Chaining of the daily runs
Kähisen / Ääni maassa/käheänä,I have no voice (due to sickness)
Eipä muuta,That's all (from me)
"Jos jokin asia mietityttää, minut tavoittaa parhaiten sähköpostilla tai puhelimella.","If you have any questions, the best way to reach me is by email or phone."
Se on meistä kiinni,It depends on us
Hyvä/helppo nakki,An easy job or task for someone
Uhka vai mahdollisuus?,A risk or an opportunity?
