aaltosulkeet {},curly brackets {}
"aikaleima, timestamppi",timestamp
ajaa koodia/testeja,to run the code/tests
ajoaika,run time
ajonaikainen,occurring during run-time (esim. ajonaikainen virhe)
ajuri,driver
alaviiva,underscore
alidomain,subdomain
alkulataus,"initial program load, booting"
"aluekaavio (perus, pinottu)","area chart (basic, stacked)"
API polku,API path
API-rajapinta,API interface
arkaluonteiset tiedot,sensitive data
arkkis,architecture (slang)
backlogin groomaus,backlog grooming
bitti,bit
boolean-arvo,boolean value
däsäri,dashboard (slang)
"deployata tuotantoon, viedä tuotantoon, ajaa tuotantoon",to deploy to production
depsu,dependency (slang)
ehto,condition
feilata,to fail (slang)
filu,file (slang)
funkkari,function (slang)
gigatavu,gigabyte
groupata,to group by (SQL)
häikkä,"bug, error, glitch"
hajoituspuu,decomposition tree
hakasulkeet [],square brackets []
hyödyntää,to utilize
"if-lause, if-ehto",if-clause
jakauma,distribution
jatkuva akseli,continuous axis
jatkuva seuranta,continuous monitoring
julkinen,public
kahlata koodia,get through the code (hard)
kaksoispiste,colon
kansio,folder
katselmoida,to review (code)
katselmointi,code review
kauttaviiva,slash
käyttöliittymä,interface
käyttöönottoputki,deployment pipeline
kenoviiva,backslash \
kirjanmerkki,bookmark
kolmas osapuoli,third party
komento,command
kontti,container
koontinäyttö,dashboard
koota,to compile
kulmasulkeet〈〉,angle brackets〈〉
kuvaaja,"graph, plot"
laajennus,extension
linterin säännot,linter rules
lisäävä päivitys,incremental refresh
lisäys,"addition, increase"
lokitus,logging
loppukäyttäjät,end users
lueskella/katsoa/selailla/silmäillä koodia,read through the code (briefly)
luokittelu,classification
megatavu,megabyte
"mittari, laskuri",measure
mittarikaavio,gauge chart
näppäinyhdistelmä,key combination
nauhakaavio,ribbon chart
noodi,a node
notsku,notification (slang)
olla kondiksessa,"to be in shape, be in a working condition"
ominaisuus,feature
osittaja,slicer
otsikko ja alaotsikko,title and subtitle
painike,"button, handle"
päivittää uuteen versioon,to update to the new version
palikka,"algorithm part, block"
palkki/pylväskaavio,bar/column chart
parsinta,parsing
pikanäppäin ,shortcut
pilkku,"comma ,"
pistekaavio,scatter chart
pito,retention
puitteet,"framework, setting"
pullari,pull request (slang)
puolipiste,semicolon ;
puukartta,treemap
pyöriä (testi/jobi/koodi pyörii),"to be running (as in test, job or code is running)"
pystysuora,vertical
pystysuoraan,vertically
pystytila,vertical mode
quotation mark,"lainausmerkki """""
raahata,to drag (e.g. something with your mouse)
raahattu,dragged along
raportti,report
reititin,router
rengaskaavio,doughnut chart
revikoida,to do code review
revikointi,code review
riippuvuus,dependency
rinnakkainen,parallel
rivi,row
rivitason suojaus,row level security (RLS)
samplaus/sämpläys,sampling
sarake,column
selvitellä jotakin lokeilta,to find something out from the logs
sidosryhmät,stakeholders
sivutettu raportti,paginated report
sovellus,app
"sovelma, apletti",applet
speksit,specs (slang)
speksit featurelle,specs for the feature (slang)
sulkeet,brackets
summata,to sum by (SQL)
suorituskyvyn mittari,key performance indicator (kpi)
suppilokaavio,funnel chart
taaksepäin yhteensopivuus,backwards compatibility
tärkeimpien vaikuttajien kaavio,key influencers chart
täsmätä johonkin,"to match, to add up"
"tavalliset sulkeet, kaarisulkeet ()",round brackets ()
tavoittavuus,reachability
tavu,byte
temppitaulu,temporary table (slang)
tietojoukko,dataset
tietomalli,data model
tietovuo,dataflow
toimenpide,"measure, operation"
toiminnallisuus,functionality
"totuusarvo-operaattori, boolean-operaatori",boolean operator
työn alla,"in progress, in development"
ulkoiset työkalut,external tools
vaakasuora,horizontal
vaakasuoraan,horizontally
vaakatila,horizontal mode
valikko,menu
vesiputouskaavio,waterfall chart
viivakaavio,line chart
viive,"lag, delay"
viritys,"a tuning, an adjustment"
vuotaa,to leak
yhdistelmäkaavio,combo chart
yhdyskäytävä,gateway
